user_id,trimmed_tweet,original_tweet
346430654,I know violence isn't the answer but someone needs to get #PhilipBrailsford and put a good ass whoopin to the mf,"I know violence isn't the answer but, someone needs to get #PhilipBrailsford and put a good ass whoopin' to the mf.… https://t.co/Cwrr8peeOc"
703277869368283136,#PhilipBrailsford Wishing you a lifetime of misery You murderer Sleepless nights nightmares shunned wherever you go,"RT @Emmer_Effer: #PhilipBrailsford Wishing you a lifetime of misery.  You murderer.  Sleepless nights, nightmares, shunned wherever you go.…"
93888027,Just a casual reminder that both #CharlesLangley the one yelling the orders and #PhilipBrailsford the one who fi,Just a casual reminder that both #CharlesLangley (the one yelling the orders) and #PhilipBrailsford (the one who fi… https://t.co/8G6Vr1bjJU
103093655,watching the body cam footage of #DanielShaver being executed is sickening #CharlesLangley #PhilipBrailsford are,watching the body cam footage of #DanielShaver being executed is sickening. #CharlesLangley &amp; #PhilipBrailsford are… https://t.co/5SdaLT2BV2
414528899,Sergeant #CharlesLangley is a weak man on a power trip Retiring quietly makes him more of a coward Officer,"Sergeant #CharlesLangley is a weak man on a power trip. Retiring quietly makes him more of a coward. ""Officer""… https://t.co/mIxdvm44dA"
808709865749282816,#PhilipBrailsford's excessive use of force in a previous incident Whos gonna cry when this pig dies Not I #acab ht,RT @PeacefulStreets: #PhilipBrailsford's excessive use of force in a previous incident. Who’s gonna cry when this pig dies? Not I. #acab ht…
2756404992,Youve got some training to do #philipbrailsford #DanielShaver I hope Shavers widow sues your department,@MesaPD You’ve got some training to do! #philipbrailsford #DanielShaver I hope Shaver’s widow sues your department… https://t.co/ePBNJhAleD
1102171338,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
930993062532321281,The script for my next video is not kind to him At all I must thank you for bringing that vide,"@EsotericEntityy The script for my next video is not kind to him.

At all.

I must thank you for bringing that vide… https://t.co/tLiEt1YmOm"
1102171338,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
930993062532321281,Fortunately he is not in the police force anymore He was discharged on March 2016 for writing You're Fucked on h,"Fortunately he is not in the police force anymore. He was discharged on March 2016 for writing ""You're Fucked"" on h… https://t.co/0b08D9BqNf"
796272071487549440,Keep it going Tell EVERYONE TWEET #PhilipBrailsford Sgt Charles Langley who commanded these assholes to MURD,"Keep it going! Tell EVERYONE, TWEET @ #PhilipBrailsford &amp; Sgt. Charles Langley who commanded these assholes to MURD… https://t.co/OoFRXVdS8p"
17136323,We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford Yet people wonder why some kneel,"RT @Adultingsux1: We have seen the body cam footage of #DanielShaver being executed by #PhilipBrailsford. Yet people wonder why some kneel,…"
29147144,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
926120085160423425,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
938266174353281030,The real bad ass #Rambo #PhilipBrailsford before on the left and fake on the right after his attorney cleaned him,"The real bad ass #Rambo #PhilipBrailsford before on the left, and fake on the right after his attorney cleaned him… https://t.co/wmrdDGFvu7"
925181644792844288,#PhilipBrailsford should also face the death penalty if it is legal in that state I'm not from the USA I don't kn,"#PhilipBrailsford should also face the death penalty if it is legal in that state (I'm not from the USA, I don't kn… https://t.co/09iSLn4fl2"
134325452,Murderer #justicefordanielshaver #PhilipBrailsford keep it going,RT @PlatenburgA: Murderer. #justicefordanielshaver #PhilipBrailsford keep it going. https://t.co/mcksXFeLkh
32911909,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
938266174353281030,Officer who executed #DanielShaver custom AR15 gun was #InscriptedYoure f If #Sadistic #Psycho,"Officer who executed #DanielShaver custom AR-15 gun was #Inscripted:“You’re f*****,”’ If #Sadistic #Psycho… https://t.co/MBSXKaplOz"
703277869368283136,#PhilipBrailsford is an entitled white privileged #policeofficer who just got away with cold blooded murder of #DanielShave,RT @emenyonu99: #PhilipBrailsford is an entitled white privileged #policeofficer who just got away with cold blooded murder of #DanielShave…
703277869368283136,In March of 2016 #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS,"RT @AttorneyGriggs: In March of 2016, #Mesa Police Officer #PhilipBrailsford was charged with #seconddegreemurder for gunning down #DanielS…"
703277869368283136,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
